Product Name,Product Spec
evian - [Dealer's Goods of HK] [Full Case] 罐裝 France Sparkling Natural Mineral Water (330ml X 24),330ml x 24
Lucky Me - [Full Case] Litchi Oolong Tea - 250ml x 30,250ml x 30
Remedy Drinks - 【原箱24CAN】 Organic Kombucha [Mango] Passion Sugar Free at least 60days shelf life,250ml x24
Calci Plus - 原箱 鈣思寶高鈣高蛋白質豆奶 原箱 (24 x 250ml) #14088 Calci-Plus Hi-Calcium High Protein Soya Milk#植物奶#中國或香港產地版本隨機出貨,
KAGOME - Kagome Japan Made 100% Vegetables Juice One Per Day Paper Pack - Full Case 200ml - 6147,24x200ml
可口可樂 - Full case - Coca cola No sugar (330ml X 8) X 3,330ml (8P X 3)
Bonaqua - [Full case] Mineralized Water (1.5L X 12),1.5L X 12
ITO EN - [Full Case] Ooicha Dark Green Tea 2L x 6 bottle expiry 2026/09,2L x 6
Lipton - Golden Milk Tea 34 pieces [16.5g x 34] (4892218063412)【Random Pack】,16.5g x 34pieces
星巴克 - Espresso Roast by NESCAFÉ® [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C),1 box x 12 servings
Sanitarium - So Good™ OAT MILK UNSWEETENED ⭐ 1L,1 Litre
KAGOME - Kagome Japan Made 100% Veg Fruit Mix Juice Berry Salad Paper Pack - Full Case 200ml Parallel Import,24x200ml
UCC - UCC  BLACK Coffee (No Sugar) Wholly Brewed 185g x30 ROASTED COFFEE 100％ expiry 2026/07,185g x 30
賓得寶 - [Full Case] Diet Ginger Beer 375ml x 12,12 x 375ml
UCC - Sugar Free Black Coffee 375g x 24 Bottles(#153433) Random Delivery,375g x24
TASTE NIRVANA - 《SET#6PCS》RealCoconut Water 300ml [x6pcs],300ml X 6
POCARI SWEAT - POCARI SWEAT 500ml X 24 (Parallel Import) [full box] Expiry 2027/04,500ml x 24
Tao Ti - Tao Ti Supreme Oolong Tea (No sugar) - Full Case 250ml,250ML x 24 Bag
賓得寶 - [Full Case] Lemon Lime Bitter 375ml x 12,12 x 375ml
Volvic - Volvic Natural Mineral Water France - Full Case 12x1.5L (Random Packing) 新貨，到期日：2027年12月,12x1.5L
POKKA - Premium Milk Coffee 500ml x 24 bottles,
Fontana - [Full Case] 100% Orange Juice - 1L x 12,1L  x 12
Sanitarium - So Good Original Almond Milk 1L  Serve with breakfast cereals/oatmeal/bread,1L
Asahi - Asahi [Japan Coffee]-Wonda Koku-No-Fukami Low Sugar Coffee Bottled - Full Case 370gm,24x370gm
Suntory - Japan Premium Boss Black Coffee Bottled - Full Case 390gm/ Sugarless / Suntory / Parallel,24x390gn
evian - [Dealer's Goods of HK] [Full Case]  膠樽裝 France Evian Natural Mineral Water (330ml X 24),330ml x 24
"Mindful Sparks - 【Full Case 12 Bottles】Prestige Sparkling White Peach Earl Grey Tea 245ml (Low Sugar,Hong Kong Brand)",245ml x12
"HealthWorks - Water Chestnut, Fresh Cogongrass Rhizome & Sugar Cane Tea #HerbalTea #Drink (Chilled 0-4℃)",
Volvic - Volvic Natural Mineral Water France 1.5L x 6  (Random Packing),6x1.5L
可口可樂 - Japanese authentic Green Tea 650ml x 24 (Random Packaging) #FullCase 4902102154826 expiry 2026/08,650ml x 24Bottles
UCC - Low-Caffeine Drip Coffee (8cups/pack)(159381) (Parallel Import)(RandomVersion )EXP: End-APR2027,8cups/pack
Suntory - Green DA.KA.RA Mild Barly Tea Sugarless Caffeine Free l-[Parallel Import],6 Bottles x 680ml
ACQUA PANNA - Acqua Panna (Glass Bottle) Natural Spring Wate - 6 x 250ml (New and old packaging sent randomly),6x250ml
Schweppes - Schweppes - Schweppes Lime Flavoured Sparkling Water (330ml) x 24 - Full Case 330ml,330ml X 24 cans
KAGOME - [4 Flavors(12 Packs)Tasting] 100% Vegetable & Fruit Mix Juice Paper Pack – 12 x 200ml-Japan Juice,12 Packs x 200ml
evian - Evian - French Evian Natural Mineral Water - [Original Box] 24 x 500ml (Plastic Bottles),24x500ml
Fever Tree - Fever Tree Elderflower Tonic Water (Green Bottle) 8 x 150ml - Parallel Import EXP:2026-10-30,8 x 150ml
HealthWorks - 24 Herbs' Tea #No Sugar #HerbalTea #Drink (Chilled 0-4℃),
HeySong - Camellia Green Tea (Sugar Free) 580ml x 24 bottle [食用期: 01/03/2027],
SINGHA - Singha Zero Sugar Strawberry Lemon Soda 330ml x 24(EXP:Y/M/D-2026/12+),
Fontana - [2 packs] 100% Pineapple Juice - 1L x 2,1L x 2
Suntory - Suntory Oolong Tea (No Sugar) Bottled - Full Case 500ml[110236K],15x500ml
Perrier - Perrier (Lemon) Natural Sparkling Mineral Water PET Bottle France - Full Case 500ml,24x500ml
Perrier - Perrier BNP Paribas Lime Flavored Natural Vaporized Mineral Water - Original Case 10x 250mls,10×250ml
Perrier - Perrier (Lime & Ginger) Natural Mineral Water France (Glass Bottle) - Full Case 6x(4x330mL),24x330ml
HealthWorks - Momordica Fruit & Self-Heal Spike Tea #LowSugar #HerbalTea #Drink (Chilled 0-4℃),
NESCAFÉ - Nescafe Full Roast Coffee - Full case (250ml x 6cans) x 4,(250ml x 6cans) x 4
星巴克 - Blonde Expresso Roast Coffee Capsules (3284) [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C),1 box x 12 servings
Vita - Apple Jasmine Green Tea Drink 500ml (Random Delivery),500ml
UCC - [New packing 230g] Gold Special Coffee Bean 230g - Special Blend (#158155/啡豆) (Random Delivery),230g
"HealthWorks - Preserved Jujube, Ussuri Fritillary, Apricot Kernel & Pear Tea #HerbalTea #Drink (Chilled 0-4℃)",
NESCAFÉ - [Japan Coffee] Excella Sugarless Black Coffee Bottle – 4 Bottles x 900ml-Nescafe - Blue,4 Bottles x 900ml
Lotte - [Full Case] Lotte - Trevi Sparkling Water - Lime - 500ml x 20,500ml x 20
ITO EN - [Full Case] Golden Oolong Tea 500ml x 24 4901085614372 expiry 2026/10,500ml x 24
Vita - Vita - Full Case TSZ Apple and Jasmine (250ml x 6 ) x 4,
evian - [Dealer's Goods of HK] [Full Case] 玻璃樽裝 France Evian Natural Mineral Water (330ml X 20) (冇氣),330ml x 20
Nongfu Spring - 農夫山泉 東方樹葉 無糖青柑普洱Nongfu Spring Oriental Leaf Sugar-Free Tea Green Mandarin Puer(樽裝)-原箱12x 900毫升,12x900ml
IRIS OHYAMA - IRIS Japanese Mineral water 2L x 6 4967576493000 #fullcase expiry2026/12,2000ML x 6
KOH COCONUT - (Full Case Sales) 100% Coconut Water 1 Litre X 12 Boxes,
可口可樂 - Japan Georgia Sugarless Black Coffee Bottled - Full Case 400ml/ Coca Cola / Parallel Import,24x400ml
星巴克 - Vanilla Flavoured Coffee by Nespresso® [Applicable to Nespresso® Coffee Machine][C30] [Random pkg],1 box x 10 servings
Awastea - Black Bean Water 12 Pieces/Pack,
Volvic - Volvic French Natural Mineral Water -6x1.5 liters x2,6x1.5Lx2
"Nongfu Spring - Oriental Leaf Jasmine Tea 500ml×15 - Sugar Free, 0 Cal, Cold Brew Ready (Parallel Import)",15x500ml
BLACK & WHITE - Black & White Full Cream Milk 1L x 12 [Full Box] (4894488009084) expiry 2026/10/01,1L x 12
Fever Tree - Fever Tree Refreshingly Light Tonic Water Mini Can - Full Case 150ml,24x150ml
"San Pellegrino - San Pellegrino sparkling mineral water, plastic bottles (original case),4 x (6 x 500ml)",4×（6×500ml）
Suntory - [Full Case] Suntory Oolong Tea 2L x 6 Bottles 4901777009684 expiry2026/11,2L x 6
KIRIN - Kirin [午後の紅茶]-Gogo-No-Kocha Milk Tea Pet Bottle - Full Case 500ml,24x500ml
IRIS OHYAMA - IRIS Japanese Mineral water 2L x 6 4967576493000 #fullcase expiry 2027/07,2000ML x 6
KIRIN - [Full Case] Afternoon Tea Lemon Tea 500ml x 24 Random Packaging Expiry 2026/12,500ml x 24
TASTAZ - Tastaz Natural Apple Cider Vinegar (with mother ) 20pack*15ml /Rich taste/ Individually packaged,15ml*20stick (300ml)
Nongfu Spring - [24 bottles] Changbaixue Natural Snow Mountain Mineral Water 350ml x 24 (parallel import)（新舊包裝隨機發送）,24x350ml
SAN BENEDETTO - San Benedetto Sparkling Natural Mineral Water Italy【English version】 - Full Case 6x1.5L,6x1.5L
DyDo - [Japan Coffee]-DyDo Barista Choice Low Suger Coffee Bottled - Full Case 260g (Random Packing),24x260g
Vittel - Vittel Natural Mineral Water Original Case (500ml x 24) | Balanced Minerals | Parallel Import,24x500ml
OKIHAM - Okiham  Okinawa 100% Citrus Lemon Juice No added Shikwasa juice  500ml   Parallel imported,
Mindful Sparks - Prestige Sparkling Yuzu Genmaicha 245ml (Full Case 12 Bottles) (Healthy Tea),245ml x 12
UCC - Cold Brew Black Coffee PET 500ml x 24 Bottles (#156738) (Random Delivery),500ml x24
CHI FOREST - CHI FOREST Red bean Barley Drink 500ml x 6 - Parallel Import,6x500 ml
COOL - CoolWater - Cool Purified Water - Full Case (750ml x 24) (Random allocation of old/new version),750ml x  24
SANGARIA - SANGARIA [Japan Green Tea] Your Strong Green Tea Sugarless Bottle – Full Case 500ml,24x500ml
watsons - [Full case] Pure Distilled Water (280ml X 35),280ml X 35
ITO EN - [Full Case] Golden Oolong Tea 500ml x 24 4901085614372 expiry 10/2026,500ml x 24
"Mezzanine Makers - Lemon Iron Buddha Sparkling Tea 330ml (Full Case 24 Cans) (Hong Kong Brand, Made in Hong Kong)",330ml x 24
Pokka  Sapporo - Chelated Lemon Drinks MUKUMI 155ml x 24 (Full Case),155ml x 24
7up - 7 UP FREE LEMON CLEMENTINE 330ML x 24 Cans,330ml x 24 cans
Nature's Superfoods - Organic Freeze Dried Acai Berry Powder 90g (Freeze-Dried)｜VeganGluten-free,
Red Bull - Red Bull Energy Drink Austria - Full Case 250ml Random Packing,24x250ml
CR C'ESTBON - 原箱 怡寶飲用純水 原箱 12x1555ml #85993220 Cestbon Purified Drinking Water #怡寶水 #露營必須水,
evian - Natural Mineral Water( Dealer Goods of Hong Kong) Full Case (500ml) x 24,500ml x 24
MORIYAMA - 【Full Case】Cocoa Paper Pack (1000g) ×6 boxs(4902837200157) Chocolate Milk【parallel import】,1000g×6盒
星巴克 - Latte Macchiato by NESCAFÉ® [Applicable to NESCAFÉ® Dolce Gusto® ](C),1 box x 12 servings
Fever Tree - Fever Tree Premium Indian Tonic Water Mini Can - Full Case 150ml,24x150ml
"Asahi -  Asahi [Japan Tea]-Jurokucha Barly Tea Pet Bottle - Full Case 2L, Parallel Import",6x2Ltr
NESCAFÉ Dolce Gusto - [8712]Grande Intenso Capsule [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine],1 box x 16 servings
SANGARIA - SANGARIA [Japan Green Tea] Your Matcha Brown Rice Tea Sugarless Bottle – Full Case 500ml,24x500ml
Fever Tree - Fever Tree Light Mediterranean Tonic Water (Blue Bottle) (Original Box)(150mlx8)x3 - Parallel Import,24x 150ml
Sanitarium - So Good Regular Soy Milk 1L,1L
KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Apple Salad Paper Pack - Full Case 200ml - 0183,24x200ml
ACQUA PANNA - Acqua Panna (Glass Bottle) Natural Spring Water Italy - Full Case 4x(6x250mL)(Random Packing),24x250ml
Perrier - Perrier Paris Natural Gas Mineral Water (Canned) - Original Box 24x 330ml (Gas) Parallel Imported,24x330 ml
Member's Mark - Sam's Club Authentic Classic Italian Blended Coffee Beans 1kg X1 Bag Sam's Supermarket Home Coffee B,1000gX1 bag
Tao Ti - Tao Ti Supreme Jasmine Flavour Green Tea - Full Case (250ml x 6) x 4,
MOUTON CADET - RED WINE 武當 法國波爾多紅酒  MOUTON CADET ROUGE BORDEAUX 750ml #51001757 #年份會因應實際貨存情況而有所不同 #FRANCE#新舊包裝隨機發貨,
evian - [Dealer's Goods of HK] [Full Case] 罐裝 France Sparkling Natural Mineral Water (330ml X 24),330ml x 24
You C1000 - You C1000 Vitamin Lemon Flavored Health Drink (Glass Bottle) -6x140ml Parallel Imported,6x140ml
10號店飲品 - Japan Yoro Sanroku Natural Mineral Water Bottle - Full Case 2L,6x2L
SINGHA - (Glass Bottle) Singha Soda Water - Full Case 325ml (Random Packing),24x325ml
San Pellegrino - (Glass Bottle) Mineral Sparkling Water Italy -Full Case 750ml,12x750ml
evian - Evian [Hong Kong licensed] - French Evian natural mineral water - original box 24x 500ml,24x500ml
UCC - BlendMilkCoffer185ml x 30pcs,
Schweppes - Schweppes Grapefruit-Flavored Soda - 6 x 330ml [Hong Kong Version] (Random Packing),6x330ml
星巴克 - Cappuccino Coffee Capsules [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine],1 box x 12 servings
POKKA SAPPORO - [Japan Made] Hokkaido (Sugarless/Caffeine Free) Roasted Corn Tea Bottle – 6 Bottles x 525ml,6 Bottles x 525ml
GORNA BANIA - 【原箱】Alkaline Natural Mineral Water pH9.8 from Bulgaria,正貨保證
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Tea Green Mandarin Puer Bottled - Full Case 500ml,15x500ml
Unleash'd ORGANIC - Organic Raspberry Juice Powder 1LB(453g) Green Superfood Support Nutrient-Dense Supplement,1LB(453g)
Mindful Sparks - Prestige Sparkling White Peach Earl Grey Tea 245ml (Full Case 12 Bottles) (Healthy Tea),245ml x 12
Hang Tak Hong - France Rose 75g 新舊包裝隨機發送,
AGF - Café Latory - Bitter Cafe Latte 9g x 18 sticks (#837164/啡) (Parallel Import),9g x18p
Nongfu Spring - Nongfu Spring [Hong Kong Official Version Paper Case] Natural Water -Full Case 5L x 4,4x5L
MAMA'S WORKSHOP - Chuanbei and Chenpi rock sugar stewed lemon (7 bottles x 310mL),310mL X 7
ACQUA PANNA - Acqua Panna Italian Natural Spring Wate 6x250ml Glass Bottles | Old/New Pack Random,6x250ml
Asahi - Asahi Wonda Kokunohukami Cafe Au Lait Bottler Can 370g x 24pcs [Parallel Import] [Random Packing],
evian - Evian Natural Mineral Water from France -6x1.5 liters in original box (randomly sent in parallel imp,6x1.5L
Nongfu Spring - Oriental Leaf Sugar free Green Citrus Pu'er (Bottled) -6x500ml (Parallel Imported),6x500ml
Volvic - Volvic Natural Mineral Water France - 6 x 500ml (Random Packing),6x500ml
KIRIN - Kirin [Japan Tea]-Nama-Cha Hojisencha Bottled - Full Case 525ml-Green Tea,24x525ml
Nongfu Spring - Nongfu Spring Natural Mineral Water (HK Version) 12x1.5L｜Natural & Healthy Premium Source,12x1.5L
CR C'ESTBON - C'estbon Purified Drinking Water - Full Case 4.5L X 4,4x4.5L
Suntory - 原箱 茶 日本版Suntory Oolong Tea三得利 烏龍茶 原箱 (6x2L) #FUP2R #新舊包裝隨機發送,
Authentic Tea House - 原箱 淳茶舍銀毫茉莉綠茶飲料(無糖) 原箱(24x250ml)#2939 Yinhao Jasmine Green Tea(No Sugar)#Random for old/new packaging,
CR C'ESTBON - Cestbon Purified Drinking Water - [Full Case]555ml x 24 Bottles,24 x 555mL
Schweppes - Schweppes Sparkling Soda Water 320ml x 6 Cans(Film-Wrapped) | Parallel Import (Random Packaging),6 x 320 ml
Robiff - Robiff Oolong Tea_ Full Case (900ml x 12),900ml x 12
Perrier - Sparkling Natural Mineral Water Bottle (Glass) 330ml x 4,330ml x 4
Nongfu Spring - Nongfu Spring - Natural Water - Full Case 4x5L,4x5L
POCARI SWEAT - Pocari Sweat -Full case 350ml x 24 (Parallel Imported Products),350ml x 24
Vittel - [12PCS] France Vittel Natural Mineral Water 1.5L 7613036249928 #Vittel #MineralWater,1500ml * 12pcs
星巴克 - Veranda Blend™ Americano Coffee Capsules [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C),1 box x 12 servings
可口可樂 - Full case - Coca cola no sugar mini cans (200ml X 6) X 4,(200ml X 6) x 4
ACQUA PANNA - 原箱 行貨 ACQUA PANNA 意大利天然泉水 原箱 (膠樽裝 -12x1L) #15465263 Spring Water #行貨 #新貨,
Boring - Boring Barista Oat Milk  【1支】 Best before 5 March 2026 or 15 Nov 2026,1L
"iF - IF 100% Coconut Water (Bottle) 12x 350ml｜#1 Best Seller, Natural Electrolytes",12x350ml
Vitasoy - Vitasoy - Full Case Malted Soya Bean Milk 250ml (250ml x 6 ) x 4,
Bonaqua - 原箱 飛雪無招紙礦物質水 原箱(24x600ml)太古可口可樂 Bonaqua Label-less Mineralized Water Swire Coca Cola#新舊包裝隨機發貨,
SAN BENEDETTO - San Benedetto Natural Mineral Water Italy - Full Case 1.5L[130023B] (Random Packing),6x1.5L
UCC - UCC [Japan Coffee] Decaffeinated Delicious Instant Coffee Powder 45gm / Parallel Import,45gm
星巴克 - Caramel Macchiato Coffee Capsules [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine],1 box x 12 servings
POCARI SWEAT - Ion Supply Drink Bottled [Parallel Goods] - Full Case 350ml[110134C],24x350ml
Vita - [Full case] Distilled Water (430ml X 24),430ML x 24
CR C'ESTBON - C'estbon Drinking Pure Water (Hong Kong version) (Original Case) 12 x 1.55 liters,12x1.55ml
可口可樂 - Full case - Coca cola Plus Dietary fiber (330ml X 8) X 3,330ml (8P X 3)
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar free Oolong Tea (HK Version)-Full Case 15x 500ml,15x500ML
Lotte - [Full Case] ICIS Water PH8.0 - 500ml x 20,500ml x 20
星巴克 - Caramel Flavored Coffee [Applicable to Nespresso Coffee Machine] [C30] [Random Packaging],1 box x 10 servings
"OATLY! - Oatly Barista Oat Drink【Made in UK】  - 6x1L (Vegan, Low-Fat, Lactose-Free)（Made in UK）EXP:2027-02",6x1L
San Pellegrino - S.PELLECRINO Glass Bottles - 24 x 505ml Sparkling Natural Mineral Water in Original Box,24x505ml
Fontana - [2 packs] 100% Orange Juice - 1L x 2,1L x 2
Red Bull - Red Bull Energy Drink [4 cans] (4x250ml) parallel imported,4x250 ml
iF - if - Full case Coconut Water with Coconut Pulp (350ml) x 24,
Asahi - Asahi [Japan Coffee]-Wonda Koku-No-Fukami Rich Café Au Lait Coffee Bottled - 6 Bottles x 370gm,6 Bottles x 370gm
Asahi - PLUS Calpis Sleep & Intestinal Care Yogurt drink 200ml x 6,200ml x 6
REMEDY - 【4CAN】Organic Kombucha Wild Berry (At least 60 days shelf life),250ml x4
Shirakami - Shirakami Mountain Mineral Water 2L Bottle x6 (1 Box),
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Jasmine Tea Bottled- Full Case 15x500ml (Hong Kong version),15x500ml
SANGARIA - SANGARIA [Japan Tea] Your Fragrant Barley Tea Sugarless Bottle – 6 Bottles x 600ml,6 Bottles x 600ml
"San Pellegrino - San Pellegrino Sparkling Aranciata (Orange) (Glass Bottle) - Full Case 200ml(Expiry Date: Jan,27)",24x200ml
星巴克 - Starbucks Single-Origin Guatemala [5565]  [Nespresso® Coffee Machine] [D53],1 box x 10 servings
Ligo - [Full Case] LIGO - Direct From Europe - 100% Natural Pineapple Juice - 1L x 12,1L x 12
POCARI SWEAT - Full case 330mlx 24 cans (Parallel Imported Products),330mlx 24 cans
Suntory - Suntory Japan - Goma Mugicha Tea Bottle – Full Case 1.05L,12x1.05L(1050ml)
加多寶 - JDB Herbal Tea Drink (Canned) - [Original Box of 24 Cans] 24x310ml - Parallel Import,24x310ml
可口可樂 - Coca-Cola plus Sugar-Free Cola Soda - Original Box of 3x(8x330mL) White Cans,8x3x330ml
ViviCosì - Low-Sugar Low-Fat Low-Salt Gluten-Free Almond Milk Plant Drink 1000ml | Added Calcium & Vitamins,1L
NESCAFÉ Dolce Gusto - [B]Americano Rich Aroma Capsule [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine] [C33],1 box x 16 servings
SOC - ONSENSUI99 Healthy SPRING WATER (Mineral Water) 2L x 6 (Full Case),2L x 6
Vita - Vita - Full Case Lemon Tea Low Sugar (250ml x 6 ) x 4,
"Hokkaido Dairy Products - 原箱 北海道乳業日本霧島山麓牛乳 原箱 (24x200ml)#100018 生乳100% #Best before 28,SEP,2026#新舊包裝隨機發貨",
"NESCAFÉ - Nescafe Gold Instant Coffee Powder Germany, 200gm",200g
Asahi - PLUS Calpis Body Fat Care Yogurt drink 200ml x 24 (Full Case),200ml x 24 (原箱)
【Labe拉蓓】 - Radiant Fiber Enzyme Drink (3 Boxes / 18 Servings)｜88 Enzymes + 4.4g Dietary Fiber,
KIRIN - Body Free Non-Alcoholic Beer 350ml x3(#092133_3) (Ramdon Delivery)(Parallel Imported),350ml x3
Teisseire - Caramel Syrup｜No.1 in France｜Made in France,700ml
CHI FOREST - CHI FOREST # free water # Red bean barley water [original box 15 bottles],15x500ml
Asahi - Asahi WONDA Premium Zero coffee x 30 (Full Case),185g x 30 (原箱)
iF - iF - 100% Natural IF Coconut Water Bottled - Full Case (350ml) x 24,350ml x 24
Tao Ti - Tao Ti -Supreme Oolong Tea - Full Case (250ml x 6) x 4,
可口可樂 - Full case - Coca cola mini cans (200ml X 6) x 4,(200ml X 6) x 4
ITO EN - Relax Jasmine Tea x 24,600ml x 24
San Pellegrino - San Pellegrino (Glass Bottle) Mineral Sparkling Water Italy - Full Case 4x(6x250mL),24x250ml
Highland Spring - [Direct from UK] [FULL CASE] Still Water 1.5L x 6 x4,1.5L x 6 x4
San Pellegrino - San Pellegrino  Italian natural mineral water with gas - 4x(6x500ml) (plastic bottle)Random Packing,24x500ml(4x6x500ml)
NESCAFÉ - Full case - Korean Café Collection Coffee Latte 370ml x 20P,370ml x 20
Vita - 原箱 維他冷泡無糖茶 凍頂烏龍(白+啡色盒)原箱(24 x 250ml)#28714576 Vita Cold Brew No Sugar Dong Ding Oolong Tea#新舊包裝隨機發貨,
Bonaqua - Bonaqua Mineralised Water (1.5L x 6 ) x 2,(1.5L x 6 ) x 2
FU HANG SOY MILK - Taiwan Soy Milk - [No Sugar Added] x 6 pcs,290ml x 6
"ITO EN - itoen Matcha brown rice tea bags: 50 small bags / 1 bag, imported in parallel",50小包/ 1袋
NESCAFÉ Dolce Gusto - (1520)Café Au Lait Capsule [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine] [C33],1 box x 16 servings
"Fever Tree - Fever Tree Light Elderflower Tonic Water Mini Can 8x150ml (Expiry Date: Oct,2026)",8x150ml
TAYLOR - 4 bottles x Taylor Deep Water  - Original Prune (180ml),
Marutai - Marutai Japan Kumamoto Aso Natural Mineral Water Soft Water Bottle - Full Case 500ml,24x500ml
SAN BENEDETTO - Saint Bitao Italy [Original Box 24 Bottles] Natural Gas Mineral Water -24x 500ml Gas,24x500毫升
Fontana - [2pcs] FONTANA -  Red Guava Juice - 1L,1L x 2
Volvic - Volvic - Full Case (Dealer's Goods of HK) Volvic Natural Mineral Water Sports Cap (750ml) x 12,(750ml) x 12
BLUE DIAMOND - Almond Breeze Unsweetened (Original) 946ml x6 | Buy More Save More,6 x 946ml
ACQUA PANNA - Acqua Panna Natural Spring Water Italy - Full Case 24x500mL(Plastic Bottle) Random Packing,24x500ml
Pokka  Sapporo - Chelated Lemon Drinks MUKUMI 155ml x 6,155ml x 6
REMEDY - 【4CAN】 - Organic Kombucha Lemon Lime Mint #綠盒MINT Sugar Free (at least 60 days shelf life),250ml x4
星巴克 - White Mocha by NESCAFÉ® Coffee Capsule [Applicable to Dolce Gusto® Coffee Machine][C31],1 box x 12 servings
evian - Evian [Original Box 24 Bottles] - Evian Natural Mineral Water from France -24x 500ml (Film-Wrapped),24x500ml
UCC - Blue Mountain Blended Coffee 45g (#136115/藍) (Random Delivery),45g
"Fever Tree - Fever Tree Light Mediterranean Tonic Water Mini Can 8x150ml(Expiry Date: Oct,2026)",8x150ml
Suntory - 【Full Case】Oolong Tea 2L x 6,2L X 6
"Suntory - NATURAL MINERAL WATER 2L X 6 Four water sources (Southern Alps, Odaizan, Aso, and Northern Alps)",
Rabenhorst - RB425-4004192000653 Originally Imported from Germany: Organic Beetroot Juice (Unsweetened) –  750ml,
Ligo - 【3包裝】LIGO - Direct From Europe - 100% Natural Pineapple Juice - 1L x 3,1L x 3
AVALANCHE - (BBD:02/04/2027) 99% SF Chai Turmeric Latte 20g X 10(0544),
Hino Aso - 原箱 日本火の阿蘇天然礦泉水Mineral Water 原箱  (6 x 2L) #300369 #優質軟水，含豐富氧化物矽酸#新舊包裝隨機發貨,
東方樹葉 - Farmer's Spring - Oriental Tree Leaf Chenpi White Tea (Original Box) 15 x 500ml - Parallel Import,15x500ml
Chang - Chang Soda Water [Glass bottle] (6 bottles) 6x325mL# Soda water # Thai soda water # soda water,6x325 ml
Schweppes - Schweppes soda Water - Full case ( 330ml ) x 24,(330ml x 8) x 3
川禾谷 - 20g Yunnan Plateau Freeze Dried Jasmine #Jasmine Tea #JasmineFlower,20g
Sanitarium - So Good™ ALMOND MILK UNSWEETENED ⭐ Best Before:12-10-2026,1L
HUNG FOOK TONG - [6 bottles]  Oatmeal Soy Milk (500ml x 6) 6樽燕麥豆乳BBF:8-1-27 (500ml x 6) (random packing),500ml x 6
Hi-C - 原箱  Hi-C Lemon Tea  陽光檸檬茶 原箱 (24 x 250ml) #08171934,
星巴克 - Starbucks Caffè Verona™ by Nespresso® [4430] [Applicable to Nespresso® CoffeeMachine]D53[RandomPKG],1 box x 10 servings
"Nothing Better Pumpkin juice travel gift box, 2.4L, 1 box【Exp:2028】",
Oronamin C - 原箱 日本版奧樂蜜C飲品 ORONAMIN C 原箱(樽裝-30x120ml)#35029809 #新舊包裝隨機發貨#營養碳酸飲品#免疫力UP#健康UP#雪凍更滋味 #一日一樽奧樂蜜C，疫情下都健康D,
可口可樂 - Full case - Coca Cola No Sugar / Coke Zero Bottled 500ml X 24 bottles,500ml x 24
Asahi - Asahi Wanda Premium Zero coffee Canned - Full Case 185g,30x185ml
Sanitarium - So Good Unsweetened Almond Coconut Milk 1 L,1L
Authentic Tea House - Authentic Tea House - Cloudy Green Tea - Full box (No Sugar) (500ml) x 24,
POKKA SAPPORO - [Japan Coffee] Biz Time Sugarless Richness Black Coffee Bottle Can – 6 Bottles x 390gm,6 Bottles x 390gm
Schweppes - Schweppes (Dry) Ginger Ale 4x(6x320mL) cans | Slightly spicy and warm stomach parallel import,24 x 320 ml
"San Pellegrino - San Pellegrino, Italy San Pellegrino Aerated Natural Mineral Water - 6x 250ml (Glass Bottle)",6×250ml
Vita - 原箱 維他檸檬茶 Vita Lemon Tea  原箱 24x250ml  #28664871#Random for old/new packaging,24 x 250ml
Vittel - Vittel Natural Mineral Water (France) 330ml x 24-Pack | Rich in Calcium & Magnesium-Parallel Import,24×330ml
星巴克 - Pike Place Roast Coffee Capsules  [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C),1 box x 12 servings
星巴克 - Matcha Latte Coffee Capsules [Applicable to Dolce Gusto® Coffee Machine](C),1 box x 12 servings
SANGARIA - SANGARIA [Japan Tea] Your Fragrant Barley Tea Sugarless Bottle – Full Case 600ml,24x600ml
CHI FOREST - Yuanqi Forest [Red Date Goji Berry Water] # Free Water [Original Box 15 Bottles] # Sugar Free Tea,15x500 ml
可口可樂 - Ayataka Green Tea 650ml x 24 authentic green tea (Random Packaging) 4902102154826 expiry 2026/08,650ml x 24Bottles
星巴克 - Starbucks Blonde Espresso Roast [4478] [Applicable to Nespresso® Coffee Machine] [C30] [Random pkg],1 box x 10 servings
COOL Water - 原箱 清涼水純淨水 原箱 4x5L #33101452 / FPP51450 Cool Water Purified Water#Random for old/new packaging,
可口可樂 - Coca-Cola - Full Case No Sugar Vanilla Flavoured (500ml) x 24,
REMEDY - 【4CAN】Organic Kombucha Ginger Lemon #黃盒薑味  No Sugar Freeat least 60 days shelf life,250ml x4
Nongfu Spring - Nongfu Spring - Natural Water - Full Case 4x5L,4x5L
KIRIN - Kirin [午後の紅茶]-Gogo-No-Kocha Lemon Tea Canned - Full Case 185gm(Random Packing),20x185gm
