Product Name,Product Brand,Product SpecValue,Product SpecMultiplier,Product SpecUnit,Product NameCleaned,Product NameComprehensive
Lipton - Golden Milk Tea 34 pieces [16.5g x 34] (4892218063412)【Random Pack】,LIPTON,5,34,g,golden milk tea  pieces   pack,LIPTON Lipton - Golden Milk Tea 34 pieces [16.5g x 34] (4892218063412)【Random Pack】 5gx34
星巴克 - Espresso Roast by NESCAFÉ® [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C),STARBUCKS,12,1,servings,espresso roast by nescaf applicable to nescaf dolce gusto coffee machinec,STARBUCKS 星巴克 - Espresso Roast by NESCAFÉ® [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C) 12servingsx1
Sanitarium - So Good™ OAT MILK UNSWEETENED ⭐ 1L,SANITARIUM,1,1,litre,so good oat milk unsweetened  l,SANITARIUM Sanitarium - So Good™ OAT MILK UNSWEETENED ⭐ 1L 1litrex1
KAGOME - Kagome Japan Made 100% Veg Fruit Mix Juice Berry Salad Paper Pack - Full Case 200ml Parallel Import,KAGOME,200,24,ml,japan made  veg fruit mix juice berry salad paper pack,KAGOME KAGOME - Kagome Japan Made 100% Veg Fruit Mix Juice Berry Salad Paper Pack - Full Case 200ml Parallel Import 200mlx24
UCC - UCC  BLACK Coffee (No Sugar) Wholly Brewed 185g x30 ROASTED COFFEE 100％ expiry 2026/07,UCC,185,30,g,black coffee no sugar wholly brewed  x roasted coffee,UCC UCC - UCC  BLACK Coffee (No Sugar) Wholly Brewed 185g x30 ROASTED COFFEE 100％ expiry 2026/07 185gx30
賓得寶 - [Full Case] Diet Ginger Beer 375ml x 12,BUNDABERG,375,12,ml,diet ginger beer  x,BUNDABERG 賓得寶 - [Full Case] Diet Ginger Beer 375ml x 12 375mlx12
UCC - Sugar Free Black Coffee 375g x 24 Bottles(#153433) Random Delivery,UCC,375,24,g,sugar free black coffee  x  s,UCC UCC - Sugar Free Black Coffee 375g x 24 Bottles(#153433) Random Delivery 375gx24
TASTE NIRVANA - 《SET#6PCS》RealCoconut Water 300ml [x6pcs],TASTE NIRVANA,300,6,ml,set water  xpcs,TASTE NIRVANA TASTE NIRVANA - 《SET#6PCS》RealCoconut Water 300ml [x6pcs] 300mlx6
POCARI SWEAT - POCARI SWEAT 500ml X 24 (Parallel Import) [full box] Expiry 2027/04,POCARI SWEAT,500,24,ml,box,POCARI SWEAT POCARI SWEAT - POCARI SWEAT 500ml X 24 (Parallel Import) [full box] Expiry 2027/04 500mlx24
Tao Ti - Tao Ti Supreme Oolong Tea (No sugar) - Full Case 250ml,TAO TI,250,24,ml,supreme oolong tea no sugar,TAO TI Tao Ti - Tao Ti Supreme Oolong Tea (No sugar) - Full Case 250ml 250mlx24
賓得寶 - [Full Case] Lemon Lime Bitter 375ml x 12,BUNDABERG,375,12,ml,lemon lime bitter  x,BUNDABERG 賓得寶 - [Full Case] Lemon Lime Bitter 375ml x 12 375mlx12
Volvic - Volvic Natural Mineral Water France - Full Case 12x1.5L (Random Packing) 新貨，到期日：2027年12月,VOLVIC,5,12,l,natural mineral water france,VOLVIC Volvic - Volvic Natural Mineral Water France - Full Case 12x1.5L (Random Packing) 新貨，到期日：2027年12月 5lx12
POKKA - Premium Milk Coffee 500ml x 24 bottles,POKKA,500,24,ml,premium milk coffee  s,POKKA POKKA - Premium Milk Coffee 500ml x 24 bottles 500mlx24
Fontana - [Full Case] 100% Orange Juice - 1L x 12,FONTANA,1,12,l,orange juice   x,FONTANA Fontana - [Full Case] 100% Orange Juice - 1L x 12 1lx12
Sanitarium - So Good Original Almond Milk 1L  Serve with breakfast cereals/oatmeal/bread,SANITARIUM,1,1,l,so good original almond milk   serve with breakfast cerealsoatmealbread,SANITARIUM Sanitarium - So Good Original Almond Milk 1L  Serve with breakfast cereals/oatmeal/bread 1lx1
Asahi - Asahi [Japan Coffee]-Wonda Koku-No-Fukami Low Sugar Coffee Bottled - Full Case 370gm,ASAHI,370,24,gm,japan coffeewonda kokunofukami low sugar coffee d,ASAHI Asahi - Asahi [Japan Coffee]-Wonda Koku-No-Fukami Low Sugar Coffee Bottled - Full Case 370gm 370gmx24
Suntory - Japan Premium Boss Black Coffee Bottled - Full Case 390gm/ Sugarless / Suntory / Parallel,SUNTORY,390,24,gn,japan premium boss black coffee d    gm sugarless,SUNTORY Suntory - Japan Premium Boss Black Coffee Bottled - Full Case 390gm/ Sugarless / Suntory / Parallel 390gnx24
evian - [Dealer's Goods of HK] [Full Case]  膠樽裝 France Evian Natural Mineral Water (330ml X 24),EVIAN,330,24,ml,dealers goods of hk     france  natural mineral water,EVIAN evian - [Dealer's Goods of HK] [Full Case]  膠樽裝 France Evian Natural Mineral Water (330ml X 24) 330mlx24
"Mindful Sparks - 【Full Case 12 Bottles】Prestige Sparkling White Peach Earl Grey Tea 245ml (Low Sugar,Hong Kong Brand)",MINDFUL SPARKS,245,12,ml,sprestige sparkling white peach earl grey tea  low sugarhong kong brand,"MINDFUL SPARKS Mindful Sparks - 【Full Case 12 Bottles】Prestige Sparkling White Peach Earl Grey Tea 245ml (Low Sugar,Hong Kong Brand) 245mlx12"
Volvic - Volvic Natural Mineral Water France 1.5L x 6  (Random Packing),VOLVIC,5,6,l,natural mineral water france  x,VOLVIC Volvic - Volvic Natural Mineral Water France 1.5L x 6  (Random Packing) 5lx6
可口可樂 - Japanese authentic Green Tea 650ml x 24 (Random Packaging) #FullCase 4902102154826 expiry 2026/08,COCA COLA,650,24,ml,japanese authentic green tea,COCA COLA 可口可樂 - Japanese authentic Green Tea 650ml x 24 (Random Packaging) #FullCase 4902102154826 expiry 2026/08 650mlx24
UCC - Low-Caffeine Drip Coffee (8cups/pack)(159381) (Parallel Import)(RandomVersion )EXP: End-APR2027,UCC,8,1,cups,lowcaffeine drip coffee pack  version exp endapr,UCC UCC - Low-Caffeine Drip Coffee (8cups/pack)(159381) (Parallel Import)(RandomVersion )EXP: End-APR2027 8cupsx1
Suntory - Green DA.KA.RA Mild Barly Tea Sugarless Caffeine Free l-[Parallel Import],SUNTORY,680,6,ml,green dakara mild barly tea sugarless caffeine free l,SUNTORY Suntory - Green DA.KA.RA Mild Barly Tea Sugarless Caffeine Free l-[Parallel Import] 680mlx6
ACQUA PANNA - Acqua Panna (Glass Bottle) Natural Spring Wate - 6 x 250ml (New and old packaging sent randomly),ACQUA PANNA,250,6,ml,glass  natural spring wate   x  new and old  sent ly,ACQUA PANNA ACQUA PANNA - Acqua Panna (Glass Bottle) Natural Spring Wate - 6 x 250ml (New and old packaging sent randomly) 250mlx6
Schweppes - Schweppes - Schweppes Lime Flavoured Sparkling Water (330ml) x 24 - Full Case 330ml,SCHWEPPES,330,24,ml,lime flavoured sparkling water  x,SCHWEPPES Schweppes - Schweppes - Schweppes Lime Flavoured Sparkling Water (330ml) x 24 - Full Case 330ml 330mlx24
KAGOME - [4 Flavors(12 Packs)Tasting] 100% Vegetable & Fruit Mix Juice Paper Pack – 12 x 200ml-Japan Juice,KAGOME,200,12,ml,flavors packstasting  vegetable  fruit mix juice paper pack   x mljapan juice,KAGOME KAGOME - [4 Flavors(12 Packs)Tasting] 100% Vegetable & Fruit Mix Juice Paper Pack – 12 x 200ml-Japan Juice 200mlx12
evian - Evian - French Evian Natural Mineral Water - [Original Box] 24 x 500ml (Plastic Bottles),EVIAN,500,24,ml,french  natural mineral water  original box  x  plastic s,EVIAN evian - Evian - French Evian Natural Mineral Water - [Original Box] 24 x 500ml (Plastic Bottles) 500mlx24
Fever Tree - Fever Tree Elderflower Tonic Water (Green Bottle) 8 x 150ml - Parallel Import EXP:2026-10-30,FEVER TREE,150,8,ml,elderflower tonic water green      exp,FEVER TREE Fever Tree - Fever Tree Elderflower Tonic Water (Green Bottle) 8 x 150ml - Parallel Import EXP:2026-10-30 150mlx8
HeySong - Camellia Green Tea (Sugar Free) 580ml x 24 bottle [食用期: 01/03/2027],HEYSONG,580,24,ml,camellia green tea sugar free,HEYSONG HeySong - Camellia Green Tea (Sugar Free) 580ml x 24 bottle [食用期: 01/03/2027] 580mlx24
SINGHA - Singha Zero Sugar Strawberry Lemon Soda 330ml x 24(EXP:Y/M/D-2026/12+),SINGHA,330,24,ml,zero sugar strawberry lemon soda expymd,SINGHA SINGHA - Singha Zero Sugar Strawberry Lemon Soda 330ml x 24(EXP:Y/M/D-2026/12+) 330mlx24
Fontana - [2 packs] 100% Pineapple Juice - 1L x 2,FONTANA,1,2,l,packs  pineapple juice,FONTANA Fontana - [2 packs] 100% Pineapple Juice - 1L x 2 1lx2
Suntory - Suntory Oolong Tea (No Sugar) Bottled - Full Case 500ml[110236K],SUNTORY,500,15,ml,oolong tea no sugar d    mlk,SUNTORY Suntory - Suntory Oolong Tea (No Sugar) Bottled - Full Case 500ml[110236K] 500mlx15
Perrier - Perrier (Lemon) Natural Sparkling Mineral Water PET Bottle France - Full Case 500ml,PERRIER,500,24,ml,lemon natural sparkling mineral water pet  france,PERRIER Perrier - Perrier (Lemon) Natural Sparkling Mineral Water PET Bottle France - Full Case 500ml 500mlx24
Perrier - Perrier BNP Paribas Lime Flavored Natural Vaporized Mineral Water - Original Case 10x 250mls,PERRIER,250,10,ml,bnp paribas lime flavored natural vaporized mineral water  original  x mls,PERRIER Perrier - Perrier BNP Paribas Lime Flavored Natural Vaporized Mineral Water - Original Case 10x 250mls 250mlx10
Perrier - Perrier (Lime & Ginger) Natural Mineral Water France (Glass Bottle) - Full Case 6x(4x330mL),PERRIER,330,24,ml,lime  ginger natural mineral water france glass     xxml,PERRIER Perrier - Perrier (Lime & Ginger) Natural Mineral Water France (Glass Bottle) - Full Case 6x(4x330mL) 330mlx24
NESCAFÉ - Nescafe Full Roast Coffee - Full case (250ml x 6cans) x 4,NESCAFE,250,6,ml,nescaf    roast coffee     x cans x,NESCAFE NESCAFÉ - Nescafe Full Roast Coffee - Full case (250ml x 6cans) x 4 250mlx6
星巴克 - Blonde Expresso Roast Coffee Capsules (3284) [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C),STARBUCKS,12,1,servings,blonde expresso roast coffee capsules  applicable to nescaf dolce gusto coffee machinec,STARBUCKS 星巴克 - Blonde Expresso Roast Coffee Capsules (3284) [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C) 12servingsx1
Vita - Apple Jasmine Green Tea Drink 500ml (Random Delivery),VITA,500,1,ml,apple jasmine green tea drink,VITA Vita - Apple Jasmine Green Tea Drink 500ml (Random Delivery) 500mlx1
UCC - [New packing 230g] Gold Special Coffee Bean 230g - Special Blend (#158155/啡豆) (Random Delivery),UCC,230,1,g,new   gold special coffee bean   special blend,UCC UCC - [New packing 230g] Gold Special Coffee Bean 230g - Special Blend (#158155/啡豆) (Random Delivery) 230gx1
NESCAFÉ - [Japan Coffee] Excella Sugarless Black Coffee Bottle – 4 Bottles x 900ml-Nescafe - Blue,NESCAFE,900,4,ml,nescaf  japan coffee excella sugarless black coffee    s x   blue,NESCAFE NESCAFÉ - [Japan Coffee] Excella Sugarless Black Coffee Bottle – 4 Bottles x 900ml-Nescafe - Blue 900mlx4
Lotte - [Full Case] Lotte - Trevi Sparkling Water - Lime - 500ml x 20,LOTTE,500,20,ml,trevi sparkling water  lime,LOTTE Lotte - [Full Case] Lotte - Trevi Sparkling Water - Lime - 500ml x 20 500mlx20
ITO EN - [Full Case] Golden Oolong Tea 500ml x 24 4901085614372 expiry 2026/10,ITO EN,500,24,ml,golden oolong tea,ITO EN ITO EN - [Full Case] Golden Oolong Tea 500ml x 24 4901085614372 expiry 2026/10 500mlx24
Vita - Vita - Full Case TSZ Apple and Jasmine (250ml x 6 ) x 4,VITA,250,6,ml,tsz apple and jasmine   x,VITA Vita - Vita - Full Case TSZ Apple and Jasmine (250ml x 6 ) x 4 250mlx6
evian - [Dealer's Goods of HK] [Full Case] 玻璃樽裝 France Evian Natural Mineral Water (330ml X 20) (冇氣),EVIAN,330,20,ml,dealers goods of hk    france  natural mineral water,EVIAN evian - [Dealer's Goods of HK] [Full Case] 玻璃樽裝 France Evian Natural Mineral Water (330ml X 20) (冇氣) 330mlx20
Nongfu Spring - 農夫山泉 東方樹葉 無糖青柑普洱Nongfu Spring Oriental Leaf Sugar-Free Tea Green Mandarin Puer(樽裝)-原箱12x 900毫升,NONGFU SPRING,900,12,ml,oriental leaf sugarfree tea green mandarin puerx,NONGFU SPRING Nongfu Spring - 農夫山泉 東方樹葉 無糖青柑普洱Nongfu Spring Oriental Leaf Sugar-Free Tea Green Mandarin Puer(樽裝)-原箱12x 900毫升 900mlx12
IRIS OHYAMA - IRIS Japanese Mineral water 2L x 6 4967576493000 #fullcase expiry2026/12,IRIS OHYAMA,2000,6,ml,iris japanese mineral water l x,IRIS OHYAMA IRIS OHYAMA - IRIS Japanese Mineral water 2L x 6 4967576493000 #fullcase expiry2026/12 2000mlx6
KOH COCONUT - (Full Case Sales) 100% Coconut Water 1 Litre X 12 Boxes,KOH COCONUT,1,12,litre,sales  coconut water  boxes,KOH COCONUT KOH COCONUT - (Full Case Sales) 100% Coconut Water 1 Litre X 12 Boxes 1litrex12
可口可樂 - Japan Georgia Sugarless Black Coffee Bottled - Full Case 400ml/ Coca Cola / Parallel Import,COCA COLA,400,24,ml,japan georgia sugarless black coffee d,COCA COLA 可口可樂 - Japan Georgia Sugarless Black Coffee Bottled - Full Case 400ml/ Coca Cola / Parallel Import 400mlx24
星巴克 - Vanilla Flavoured Coffee by Nespresso® [Applicable to Nespresso® Coffee Machine][C30] [Random pkg],STARBUCKS,10,1,servings,vanilla flavoured coffee by nespresso applicable to nespresso coffee machinec  pkg,STARBUCKS 星巴克 - Vanilla Flavoured Coffee by Nespresso® [Applicable to Nespresso® Coffee Machine][C30] [Random pkg] 10servingsx1
Volvic - Volvic French Natural Mineral Water -6x1.5 liters x2,VOLVIC,5,6,lx,french natural mineral water x liters x,VOLVIC Volvic - Volvic French Natural Mineral Water -6x1.5 liters x2 5lxx6
"Nongfu Spring - Oriental Leaf Jasmine Tea 500ml×15 - Sugar Free, 0 Cal, Cold Brew Ready (Parallel Import)",NONGFU SPRING,500,15,ml,oriental leaf jasmine tea   sugar free  cal cold brew ready,"NONGFU SPRING Nongfu Spring - Oriental Leaf Jasmine Tea 500ml×15 - Sugar Free, 0 Cal, Cold Brew Ready (Parallel Import) 500mlx15"
BLACK & WHITE - Black & White Full Cream Milk 1L x 12 [Full Box] (4894488009084) expiry 2026/10/01,BLACK & WHITE,1,12,l,cream milk   box,BLACK & WHITE BLACK & WHITE - Black & White Full Cream Milk 1L x 12 [Full Box] (4894488009084) expiry 2026/10/01 1lx12
Fever Tree - Fever Tree Refreshingly Light Tonic Water Mini Can - Full Case 150ml,FEVER TREE,150,24,ml,refreshingly light tonic water mini can,FEVER TREE Fever Tree - Fever Tree Refreshingly Light Tonic Water Mini Can - Full Case 150ml 150mlx24
"San Pellegrino - San Pellegrino sparkling mineral water, plastic bottles (original case),4 x (6 x 500ml)",SAN PELLEGRINO,500,4,ml,sparkling mineral water plastic s original  x  x,"SAN PELLEGRINO San Pellegrino - San Pellegrino sparkling mineral water, plastic bottles (original case),4 x (6 x 500ml) 500mlx4"
Suntory - [Full Case] Suntory Oolong Tea 2L x 6 Bottles 4901777009684 expiry2026/11,SUNTORY,2,6,l,oolong tea  s,SUNTORY Suntory - [Full Case] Suntory Oolong Tea 2L x 6 Bottles 4901777009684 expiry2026/11 2lx6
KIRIN - Kirin [午後の紅茶]-Gogo-No-Kocha Milk Tea Pet Bottle - Full Case 500ml,KIRIN,500,24,ml,gogonokocha milk tea pet,KIRIN KIRIN - Kirin [午後の紅茶]-Gogo-No-Kocha Milk Tea Pet Bottle - Full Case 500ml 500mlx24
IRIS OHYAMA - IRIS Japanese Mineral water 2L x 6 4967576493000 #fullcase expiry 2027/07,IRIS OHYAMA,2000,6,ml,iris japanese mineral water l x,IRIS OHYAMA IRIS OHYAMA - IRIS Japanese Mineral water 2L x 6 4967576493000 #fullcase expiry 2027/07 2000mlx6
KIRIN - [Full Case] Afternoon Tea Lemon Tea 500ml x 24 Random Packaging Expiry 2026/12,KIRIN,500,24,ml,afternoon tea lemon tea,KIRIN KIRIN - [Full Case] Afternoon Tea Lemon Tea 500ml x 24 Random Packaging Expiry 2026/12 500mlx24
TASTAZ - Tastaz Natural Apple Cider Vinegar (with mother ) 20pack*15ml /Rich taste/ Individually packaged,TASTAZ,15,20,ml,natural apple cider vinegar with mother  packml rich taste individually packaged,TASTAZ TASTAZ - Tastaz Natural Apple Cider Vinegar (with mother ) 20pack*15ml /Rich taste/ Individually packaged 15mlx20
Nongfu Spring - [24 bottles] Changbaixue Natural Snow Mountain Mineral Water 350ml x 24 (parallel import)（新舊包裝隨機發送）,NONGFU SPRING,350,24,ml,s changbaixue natural snow mountain mineral water  x,NONGFU SPRING Nongfu Spring - [24 bottles] Changbaixue Natural Snow Mountain Mineral Water 350ml x 24 (parallel import)（新舊包裝隨機發送） 350mlx24
SAN BENEDETTO - San Benedetto Sparkling Natural Mineral Water Italy【English version】 - Full Case 6x1.5L,SAN BENEDETTO,5,6,l,sparkling natural mineral water italyenglish version,SAN BENEDETTO SAN BENEDETTO - San Benedetto Sparkling Natural Mineral Water Italy【English version】 - Full Case 6x1.5L 5lx6
DyDo - [Japan Coffee]-DyDo Barista Choice Low Suger Coffee Bottled - Full Case 260g (Random Packing),DYDO,260,24,g,japan coffee barista choice low suger coffee d,DYDO DyDo - [Japan Coffee]-DyDo Barista Choice Low Suger Coffee Bottled - Full Case 260g (Random Packing) 260gx24
Vittel - Vittel Natural Mineral Water Original Case (500ml x 24) | Balanced Minerals | Parallel Import,VITTEL,500,24,ml,natural mineral water original   x   balanced minerals,VITTEL Vittel - Vittel Natural Mineral Water Original Case (500ml x 24) | Balanced Minerals | Parallel Import 500mlx24
OKIHAM - Okiham  Okinawa 100% Citrus Lemon Juice No added Shikwasa juice  500ml   Parallel imported,OKIHAM,500,1,ml,okinawa  citrus lemon juice no added shikwasa juice      ed,OKIHAM OKIHAM - Okiham  Okinawa 100% Citrus Lemon Juice No added Shikwasa juice  500ml   Parallel imported 500mlx1
Mindful Sparks - Prestige Sparkling Yuzu Genmaicha 245ml (Full Case 12 Bottles) (Healthy Tea),MINDFUL SPARKS,245,12,ml,prestige sparkling yuzu genmaicha     s healthy tea,MINDFUL SPARKS Mindful Sparks - Prestige Sparkling Yuzu Genmaicha 245ml (Full Case 12 Bottles) (Healthy Tea) 245mlx12
UCC - Cold Brew Black Coffee PET 500ml x 24 Bottles (#156738) (Random Delivery),UCC,500,24,ml,cold brew black coffee pet  x  s,UCC UCC - Cold Brew Black Coffee PET 500ml x 24 Bottles (#156738) (Random Delivery) 500mlx24
CHI FOREST - CHI FOREST Red bean Barley Drink 500ml x 6 - Parallel Import,CHI FOREST,500,6,ml,red bean barley drink  x,CHI FOREST CHI FOREST - CHI FOREST Red bean Barley Drink 500ml x 6 - Parallel Import 500mlx6
COOL - CoolWater - Cool Purified Water - Full Case (750ml x 24) (Random allocation of old/new version),COOL,750,24,ml,water   purified water     x   allocation of oldnew version,COOL COOL - CoolWater - Cool Purified Water - Full Case (750ml x 24) (Random allocation of old/new version) 750mlx24
SANGARIA - SANGARIA [Japan Green Tea] Your Strong Green Tea Sugarless Bottle – Full Case 500ml,SANGARIA,500,24,ml,japan green tea your strong green tea sugarless,SANGARIA SANGARIA - SANGARIA [Japan Green Tea] Your Strong Green Tea Sugarless Bottle – Full Case 500ml 500mlx24
watsons - [Full case] Pure Distilled Water (280ml X 35),WATSONS,280,35,ml,pure distilled water,WATSONS watsons - [Full case] Pure Distilled Water (280ml X 35) 280mlx35
ITO EN - [Full Case] Golden Oolong Tea 500ml x 24 4901085614372 expiry 10/2026,ITO EN,500,24,ml,golden oolong tea,ITO EN ITO EN - [Full Case] Golden Oolong Tea 500ml x 24 4901085614372 expiry 10/2026 500mlx24
"Mezzanine Makers - Lemon Iron Buddha Sparkling Tea 330ml (Full Case 24 Cans) (Hong Kong Brand, Made in Hong Kong)",MEZZANINE MAKERS,330,24,ml,lemon iron buddha sparkling tea     cans hong kong brand made in hong kong,"MEZZANINE MAKERS Mezzanine Makers - Lemon Iron Buddha Sparkling Tea 330ml (Full Case 24 Cans) (Hong Kong Brand, Made in Hong Kong) 330mlx24"
Pokka  Sapporo - Chelated Lemon Drinks MUKUMI 155ml x 24 (Full Case),POKKA  SAPPORO,155,24,ml,chelated lemon drinks mukumi,POKKA  SAPPORO Pokka  Sapporo - Chelated Lemon Drinks MUKUMI 155ml x 24 (Full Case) 155mlx24
7up - 7 UP FREE LEMON CLEMENTINE 330ML x 24 Cans,7UP,330,24,ml,up free lemon clementine cans,7UP 7up - 7 UP FREE LEMON CLEMENTINE 330ML x 24 Cans 330mlx24
Nature's Superfoods - Organic Freeze Dried Acai Berry Powder 90g (Freeze-Dried)｜VeganGluten-free,NATURE'S SUPERFOODS,90,1,g,organic freeze dried acai berry powder  freezedriedveganglutenfree,NATURE'S SUPERFOODS Nature's Superfoods - Organic Freeze Dried Acai Berry Powder 90g (Freeze-Dried)｜VeganGluten-free 90gx1
Red Bull - Red Bull Energy Drink Austria - Full Case 250ml Random Packing,RED BULL,250,24,ml,energy drink austria,RED BULL Red Bull - Red Bull Energy Drink Austria - Full Case 250ml Random Packing 250mlx24
CR C'ESTBON - 原箱 怡寶飲用純水 原箱 12x1555ml #85993220 Cestbon Purified Drinking Water #怡寶水 #露營必須水,CR C'ESTBON,1555,12,ml,cestbon purified drinking water,CR C'ESTBON CR C'ESTBON - 原箱 怡寶飲用純水 原箱 12x1555ml #85993220 Cestbon Purified Drinking Water #怡寶水 #露營必須水 1555mlx12
evian - Natural Mineral Water( Dealer Goods of Hong Kong) Full Case (500ml) x 24,EVIAN,500,24,ml,natural mineral water dealer goods of hong kong    x,EVIAN evian - Natural Mineral Water( Dealer Goods of Hong Kong) Full Case (500ml) x 24 500mlx24
MORIYAMA - 【Full Case】Cocoa Paper Pack (1000g) ×6 boxs(4902837200157) Chocolate Milk【parallel import】,MORIYAMA,1000,6,g,cocoa paper pack   boxs chocolate milk,MORIYAMA MORIYAMA - 【Full Case】Cocoa Paper Pack (1000g) ×6 boxs(4902837200157) Chocolate Milk【parallel import】 1000gx6
星巴克 - Latte Macchiato by NESCAFÉ® [Applicable to NESCAFÉ® Dolce Gusto® ](C),STARBUCKS,12,1,servings,latte macchiato by nescaf applicable to nescaf dolce gusto c,STARBUCKS 星巴克 - Latte Macchiato by NESCAFÉ® [Applicable to NESCAFÉ® Dolce Gusto® ](C) 12servingsx1
Fever Tree - Fever Tree Premium Indian Tonic Water Mini Can - Full Case 150ml,FEVER TREE,150,24,ml,premium indian tonic water mini can,FEVER TREE Fever Tree - Fever Tree Premium Indian Tonic Water Mini Can - Full Case 150ml 150mlx24
"Asahi -  Asahi [Japan Tea]-Jurokucha Barly Tea Pet Bottle - Full Case 2L, Parallel Import",ASAHI,2,6,ltr,japan teajurokucha barly tea pet     l,"ASAHI Asahi -  Asahi [Japan Tea]-Jurokucha Barly Tea Pet Bottle - Full Case 2L, Parallel Import 2ltrx6"
NESCAFÉ Dolce Gusto - [8712]Grande Intenso Capsule [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine],NESCAFE DOLCE GUSTO,16,1,servings,nescaf dolce gusto  grande intenso capsule applicable to nescaf dolce gusto coffee machine,NESCAFE DOLCE GUSTO NESCAFÉ Dolce Gusto - [8712]Grande Intenso Capsule [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine] 16servingsx1
SANGARIA - SANGARIA [Japan Green Tea] Your Matcha Brown Rice Tea Sugarless Bottle – Full Case 500ml,SANGARIA,500,24,ml,japan green tea your matcha brown rice tea sugarless,SANGARIA SANGARIA - SANGARIA [Japan Green Tea] Your Matcha Brown Rice Tea Sugarless Bottle – Full Case 500ml 500mlx24
Fever Tree - Fever Tree Light Mediterranean Tonic Water (Blue Bottle) (Original Box)(150mlx8)x3 - Parallel Import,FEVER TREE,150,24,ml,light mediterranean tonic water blue  original boxmlxx,FEVER TREE Fever Tree - Fever Tree Light Mediterranean Tonic Water (Blue Bottle) (Original Box)(150mlx8)x3 - Parallel Import 150mlx24
Sanitarium - So Good Regular Soy Milk 1L,SANITARIUM,1,1,l,so good regular soy milk,SANITARIUM Sanitarium - So Good Regular Soy Milk 1L 1lx1
KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Apple Salad Paper Pack - Full Case 200ml - 0183,KAGOME,200,24,ml,japan made  vegetable fruit mix juice apple salad paper pack,KAGOME KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Apple Salad Paper Pack - Full Case 200ml - 0183 200mlx24
ACQUA PANNA - Acqua Panna (Glass Bottle) Natural Spring Water Italy - Full Case 4x(6x250mL)(Random Packing),ACQUA PANNA,250,24,ml,glass  natural spring water italy    xxml,ACQUA PANNA ACQUA PANNA - Acqua Panna (Glass Bottle) Natural Spring Water Italy - Full Case 4x(6x250mL)(Random Packing) 250mlx24
Perrier - Perrier Paris Natural Gas Mineral Water (Canned) - Original Box 24x 330ml (Gas) Parallel Imported,PERRIER,330,24,ml,paris natural gas mineral water canned  original box x  gas  ed,PERRIER Perrier - Perrier Paris Natural Gas Mineral Water (Canned) - Original Box 24x 330ml (Gas) Parallel Imported 330mlx24
Member's Mark - Sam's Club Authentic Classic Italian Blended Coffee Beans 1kg X1 Bag Sam's Supermarket Home Coffee B,MEMBER'S MARK,1000,1,g,sams club authentic classic italian blended coffee beans kg x bag sams supermarket home coffee b,MEMBER'S MARK Member's Mark - Sam's Club Authentic Classic Italian Blended Coffee Beans 1kg X1 Bag Sam's Supermarket Home Coffee B 1000gx1
Tao Ti - Tao Ti Supreme Jasmine Flavour Green Tea - Full Case (250ml x 6) x 4,TAO TI,250,6,ml,supreme jasmine flavour green tea     x,TAO TI Tao Ti - Tao Ti Supreme Jasmine Flavour Green Tea - Full Case (250ml x 6) x 4 250mlx6
MOUTON CADET - RED WINE 武當 法國波爾多紅酒  MOUTON CADET ROUGE BORDEAUX 750ml #51001757 #年份會因應實際貨存情況而有所不同 #FRANCE#新舊包裝隨機發貨,MOUTON CADET,750,1,ml,red wine     rouge bordeaux,MOUTON CADET MOUTON CADET - RED WINE 武當 法國波爾多紅酒  MOUTON CADET ROUGE BORDEAUX 750ml #51001757 #年份會因應實際貨存情況而有所不同 #FRANCE#新舊包裝隨機發貨 750mlx1
evian - [Dealer's Goods of HK] [Full Case] 罐裝 France Sparkling Natural Mineral Water (330ml X 24),EVIAN,330,24,ml,dealers goods of hk    france sparkling natural mineral water,EVIAN evian - [Dealer's Goods of HK] [Full Case] 罐裝 France Sparkling Natural Mineral Water (330ml X 24) 330mlx24
You C1000 - You C1000 Vitamin Lemon Flavored Health Drink (Glass Bottle) -6x140ml Parallel Imported,YOU C1000,140,6,ml,vitamin lemon flavored health drink glass    ed,YOU C1000 You C1000 - You C1000 Vitamin Lemon Flavored Health Drink (Glass Bottle) -6x140ml Parallel Imported 140mlx6
SINGHA - (Glass Bottle) Singha Soda Water - Full Case 325ml (Random Packing),SINGHA,325,24,ml,glass   soda water,SINGHA SINGHA - (Glass Bottle) Singha Soda Water - Full Case 325ml (Random Packing) 325mlx24
San Pellegrino - (Glass Bottle) Mineral Sparkling Water Italy -Full Case 750ml,SAN PELLEGRINO,750,12,ml,glass  mineral sparkling water italy,SAN PELLEGRINO San Pellegrino - (Glass Bottle) Mineral Sparkling Water Italy -Full Case 750ml 750mlx12
evian - Evian [Hong Kong licensed] - French Evian natural mineral water - original box 24x 500ml,EVIAN,500,24,ml,hong kong licensed  french  natural mineral water  original box x,EVIAN evian - Evian [Hong Kong licensed] - French Evian natural mineral water - original box 24x 500ml 500mlx24
